Currency|Code|Date|USD/1 Unit|Units/1 USD
Andorran Peseta|ADP|2023-03-01|156.411180|0.006393
Utd. Arab Emir. Dirham|AED|2023-03-01|3.673630|0.272210
Afghanistan Afghani|AFA|2023-03-01|89.963060|0.011116
Albanian Lek|ALL|2023-03-01|109.694830|0.009116
Armenian Dram|AMD|2023-03-01|411.567470|0.002430
NL Antillian Guilder|ANG|2023-03-01|1.790000|0.558659
Angolan Kwanza|AOA|2023-03-01|503.881130|0.001985
Angolan Old Kwanza|AON|2023-03-01|503.881130|0.001985
Argentine Peso|ARS|2023-03-01|197.341890|0.005067
Austrian Schilling|ATS|2023-03-01|12.935370|0.077307
Australian Dollar|AUD|2023-03-01|1.480800|0.675311
Aruban Florin|AWG|2023-03-01|1.810790|0.552245
Azerbaijan Old Manat|AZM|2023-03-01|8500.000000|0.000118
Azerbaijan New Manat|AZN|2023-03-01|1.700000|0.588235
Bosnian Mark|BAM|2023-03-01|1.838580|0.543898
Barbados Dollar|BBD|2023-03-01|2.000000|0.500000
Bangladeshi Taka|BDT|2023-03-01|105.932330|0.009440
Belgian Franc|BEF|2023-03-01|37.921530|0.026370
Bulgarian Old Lev|BGL|2023-03-01|1.838580|0.543898
Bulgarian Lev|BGN|2023-03-01|1.838580|0.543898
Bahraini Dinar|BHD|2023-03-01|0.379440|2.635463
Burundi Franc|BIF|2023-03-01|2090.592700|0.000478
Bermudian Dollar|BMD|2023-03-01|1.000000|1.000000
Brunei Dollar|BND|2023-03-01|1.343560|0.744291
Bolivian Boliviano|BOB|2023-03-01|7.103420|0.140777
Brazilian Real|BRL|2023-03-01|5.217410|0.191666
Bahamian Dollar|BSD|2023-03-01|1.000000|1.000000
Bitcoin|BTC|2023-03-01|0.000040|25000.000000
Bhutan Ngultrum|BTN|2023-03-01|82.489700|0.012123
Botswana Pula|BWP|2023-03-01|13.458890|0.074300
Belarusian Ruble|BYR|2023-03-01|25312.105530|0.000040
Belize Dollar|BZD|2023-03-01|2.064380|0.484407
Canadian Dollar|CAD|2023-03-01|1.361340|0.734570
Congolese Franc|CDF|2023-03-01|2060.685820|0.000485
Swiss Franc|CHF|2023-03-01|0.939510|1.064385
Chilean Peso|CLP|2023-03-01|821.660770|0.001217
Chinese Yuan Renminbi|CNY|2023-03-01|6.887530|0.145190
Colombian Peso|COP|2023-03-01|4838.438670|0.000207
Costa Rican Colon|CRC|2023-03-01|573.061590|0.001745
Cuban Convertible Peso|CUC|2023-03-01|1.000000|1.000000
Cuban Peso|CUP|2023-03-01|25.000000|0.040000
Cape Verde Escudo|CVE|2023-03-01|103.654630|0.009647
Cyprus Pound|CYP|2023-03-01|0.550190|1.817554
Czech Koruna|CZK|2023-03-01|22.019070|0.045415
Djibouti Franc|DJF|2023-03-01|177.710000|0.005627
Danish Krone|DKK|2023-03-01|6.996560|0.142927
Dominican Peso|DOP|2023-03-01|56.097670|0.017826
Algerian Dinar|DZD|2023-03-01|136.867350|0.007306
Ecuador Sucre|ECS|2023-03-01|25587.000000|0.000039
Estonian Kroon|EEK|2023-03-01|14.708590|0.067987
Egyptian Pound|EGP|2023-03-01|30.664360|0.032611
Spanish Peseta|ESP|2023-03-01|156.411180|0.006393
Ethiopian Birr|ETB|2023-03-01|54.028180|0.018509
Euro|EUR|2023-03-01|0.940050|1.063773
Finnish Markka|FIM|2023-03-01|5.589280|0.178914
Fiji Dollar|FJD|2023-03-01|2.229170|0.448597
Falkland Islands Pound|FKP|2023-03-01|0.831070|1.203268
French Franc|FRF|2023-03-01|6.166320|0.162171
United Kingdom Pound|GBP|2023-03-01|0.831070|1.203268
Georgian Lari|GEL|2023-03-01|2.667640|0.374863
Ghanaian Cedi|GHC|2023-03-01|128625.998060|0.000008
Ghanaian New Cedi|GHS|2023-03-01|12.862600|0.077745
Gibraltar Pound|GIP|2023-03-01|0.831070|1.203268
Gambian Dalasi|GMD|2023-03-01|61.338970|0.016303
Guinea Franc|GNF|2023-03-01|8758.388260|0.000114
Greek Drachma|GRD|2023-03-01|320.322090|0.003122
Guatemalan Quetzal|GTQ|2023-03-01|8.005110|0.124920
Guyanan Dollar|GYD|2023-03-01|220.584140|0.004533
Hong Kong Dollar|HKD|2023-03-01|7.849630|0.127395
Honduran Lempira|HNL|2023-03-01|25.060260|0.039904
Croatian Kuna|HRK|2023-03-01|7.082810|0.141187
Haitian Gourde|HTG|2023-03-01|151.397230|0.006605
Hungarian Forint|HUF|2023-03-01|352.980010|0.002833
Indonesian Rupiah|IDR|2023-03-01|15260.126430|0.000066
Irish Punt|IEP|2023-03-01|0.740350|1.350713
Israeli New Shekel|ILS|2023-03-01|3.635900|0.275035
Indian Rupee|INR|2023-03-01|82.489700|0.012123
Iraqi Dinar|IQD|2023-03-01|1486.784150|0.000673
Iranian Rial|IRR|2023-03-01|42534.754070|0.000024
Iceland Krona|ISK|2023-03-01|143.119320|0.006987
Italian Lira|ITL|2023-03-01|1820.190900|0.000549
Jamaican Dollar|JMD|2023-03-01|155.339550|0.006438
Jordanian Dinar|JOD|2023-03-01|0.709000|1.410437
Japanese Yen|JPY|2023-03-01|136.075370|0.007349
Kenyan Shilling|KES|2023-03-01|128.295590|0.007795
Kyrgyzstanian Som|KGS|2023-03-01|87.416460|0.011439
Kampuchean Riel|Cambodian Riel|KHR|2023-03-01|4106.773410|0.000244
Comoros Franc|KMF|2023-03-01|462.474360|0.002162
North Korean Won|KPW|2023-03-01|135.000000|0.007407
Korean Won|KRW|2023-03-01|1309.654070|0.000764
Kuwaiti Dinar|KWD|2023-03-01|0.307660|3.250341
Cayman Islands Dollar|KYD|2023-03-01|0.833330|1.200005
Kazakhstan Tenge|KZT|2023-03-01|444.411630|0.002250
