Currency|Code|Date|USD/1 Unit|Units/1 USD
Lao Kip|LAK|2023-03-01|17057.132490|0.000059
Lebanese Pound|LBP|2023-03-01|15000.000000|0.000067
Sri Lanka Rupee|LKR|2023-03-01|362.297660|0.002760
Liberian Dollar|LRD|2023-03-01|160.011530|0.006250
Lesotho Loti|LSL|2023-03-01|18.211850|0.054909
Lithuanian Litas|LTL|2023-03-01|3.245810|0.308090
Luxembourg Franc|LUF|2023-03-01|37.921530|0.026370
Latvian Lats|LVL|2023-03-01|0.660670|1.513615
Libyan Dinar|LYD|2023-03-01|4.869460|0.205362
Moroccan Dirham|MAD|2023-03-01|10.554100|0.094750
Moldovan Leu|MDL|2023-03-01|19.101320|0.052352
Malagasy Ariary|MGA|2023-03-01|4335.124400|0.000231
Malagasy Franc|MGF|2023-03-01|9150.460000|0.000109
Macedonian Denar|MKD|2023-03-01|58.573920|0.017072
Myanmar Kyat|MMK|2023-03-01|2122.356730|0.000471
Mongolian Tugrik|MNT|2023-03-01|2627.000000|0.000381
Macau Pataca|MOP|2023-03-01|8.085120|0.123684
Mauritanian Ouguiya|MRO|2023-03-01|360.740660|0.002772
Maltese Lira|MTL|2023-03-01|0.403560|2.477946
Mauritius Rupee|MUR|2023-03-01|47.553230|0.021029
Maldive Rufiyaa|MVR|2023-03-01|15.455340|0.064703
Malawi Kwacha|MWK|2023-03-01|1034.244260|0.000967
Mexican Peso|MXN|2023-03-01|18.223400|0.054875
Mexican Peso (pre 1993)|MXP|2023-03-01|18.223400|0.054875
Malaysian Ringgit|MYR|2023-03-01|4.488420|0.222796
Mozambique Metical|MZM|2023-03-01|64460.000000|0.000016
Mozambique New Metical|MZN|2023-03-01|64.460000|0.015513
Namibia Dollar|NAD|2023-03-01|18.211850|0.054909
Nigerian Naira|NGN|2023-03-01|461.135460|0.002169
Nicaraguan Cordoba Oro|NIO|2023-03-01|36.987810|0.027036
Dutch Guilder|NLG|2023-03-01|2.071600|0.482719
Norwegian Kroner|NOK|2023-03-01|10.365740|0.096472
Nepalese Rupee|NPR|2023-03-01|133.912040|0.007468
New Zealand Dollar|NZD|2023-03-01|1.603540|0.623620
Omani Rial|OMR|2023-03-01|0.386010|2.590606
Panamanian Balboa|PAB|2023-03-01|1.000000|1.000000
Peruvian Nuevo Sol|PEN|2023-03-01|3.861520|0.258965
Papua New Guinea Kina|PGK|2023-03-01|3.616640|0.276500
Philippine Peso|PHP|2023-03-01|54.970420|0.018192
Pakistan Rupee|PKR|2023-03-01|264.204000|0.003785
Polish Zloty|PLN|2023-03-01|4.407510|0.226885
Portuguese Escudo|PTE|2023-03-01|188.463130|0.005306
Paraguay Guarani|PYG|2023-03-01|7414.954880|0.000135
Qatari Rial|QAR|2023-03-01|3.670370|0.272452
Romanian Lei|ROL|2023-03-01|46317.757130|0.000022
Romanian New Leu|RON|2023-03-01|4.631780|0.215900
Serbian Dinar|RSD|2023-03-01|110.370390|0.009060
Russian Rouble|RUB|2023-03-01|75.219040|0.013295
Rwandan Franc|RWF|2023-03-01|1104.190600|0.000906
Saudi Riyal|SAR|2023-03-01|3.755240|0.266295
Solomon Islands Dollar|SBD|2023-03-01|8.351470|0.119739
Seychelles Rupee|SCR|2023-03-01|14.011050|0.071372
Sudanese Dinar|SDD|2023-03-01|59116.874940|0.000017
Sudanese Pound|SDG|2023-03-01|591.168750|0.001692
Sudanese Old Pound|SDP|2023-03-01|2272.300000|0.000440
Swedish Krona|SEK|2023-03-01|10.435820|0.095824
Singapore Dollar|SGD|2023-03-01|1.343560|0.744291
St. Helena Pound|SHP|2023-03-01|0.831070|1.203268
Slovenian Tolar|SIT|2023-03-01|225.273620|0.004439
Slovak Koruna|SKK|2023-03-01|28.319950|0.035311
Sierra Leone Leone|SLL|2023-03-01|19750.000000|0.000051
Somali Shilling|SOS|2023-03-01|572.059950|0.001748
Suriname Dollar|SRD|2023-03-01|34.140590|0.029291
Suriname Guilder|SRG|2023-03-01|34140.585080|0.000029
Sao Tome/Principe Dobra|STD|2023-03-01|23335.828530|0.000043
El Salvador Colon|SVC|2023-03-01|8.750000|0.114286
Syrian Pound|SYP|2023-03-01|512.795000|0.001950
Swaziland Lilangeni|SZL|2023-03-01|18.211850|0.054909
Thai Baht|THB|2023-03-01|34.876010|0.028673
Tajikistani Somoni|TJS|2023-03-01|11.039200|0.090586
Turkmenistan Manat|TMM|2023-03-01|18297.785020|0.000055
Turkmenistan New Manat|TMT|2023-03-01|3.659560|0.273257
Tunisian Dinar|TND|2023-03-01|3.159800|0.316476
Tongan Pa'anga|TOP|2023-03-01|2.420180|0.413192
Turkish Old Lira|TRL|2023-03-01|18890102.943580|0.000000
Turkish Lira|TRY|2023-03-01|18.890100|0.052938
Trinidad/Tobago Dollar|TTD|2023-03-01|6.930870|0.144282
Taiwan Dollar|TWD|2023-03-01|30.584990|0.032696
Tanzanian Shilling|TZS|2023-03-01|2345.910300|0.000426
Ukraine Hryvnia|UAH|2023-03-01|37.233370|0.026858
Uganda Shilling|UGX|2023-03-01|3746.301830|0.000267
Uruguayan Peso|UYU|2023-03-01|39.374740|0.025397
Uzbekistan Som|UZS|2023-03-01|11387.627080|0.000088
Venezuelan Bolivar|VEB|2023-03-01|2438724025.910390|0.000000
Venezuelan Bolivar Fuerte|VEF|2023-03-01|2438724.025910|0.000000
Vietnamese Dong|VND|2023-03-01|23745.170950|0.000042
Vanuatu Vatu|VUV|2023-03-01|114.140000|0.008761
Samoan Tala|WST|2023-03-01|2.790290|0.358386
CFA Franc BEAC|XAF|2023-03-01|616.632470|0.001622
CFA Franc BCEAO|XOF|2023-03-01|616.632470|0.001622
Palladium (oz.)|XPD|2023-03-01|0.000700|1428.571429
CFP Franc|XPF|2023-03-01|112.177780|0.008914
Platinum (oz.)|XPT|2023-03-01|0.001040|961.538462
Yemen Rial|YER|2023-03-01|250.770560|0.003988
South African Rand|ZAR|2023-03-01|18.211850|0.054909
Zambian Kwacha (ZMK)|ZMK|2023-03-01|5328.900000|0.000188
Zambian Kwacha|ZMW|2023-03-01|19.918080|0.050206
Zimbabwe Dollar|ZWD|2023-03-01|376.300000|0.002657
N/A|BYN|2023-03-01|2.531210|0.395068
N/A|CFP|2023-03-01|112.177780|0.008914
N/A|CLF|2023-03-01|0.029750|33.613445
N/A|CNH|2023-03-01|6.895770|0.145016
N/A|CSD|2023-03-01|110.370390|0.009060
N/A|CSK|2023-03-01|22.019070|0.045415
N/A|ERN|2023-03-01|15.000000|0.066667
N/A|ETH|2023-03-01|0.000610|1639.344262
N/A|LTC|2023-03-01|0.010340|96.711799
N/A|MRU|2023-03-01|36.074070|0.027721
N/A|PLZ|2023-03-01|4.407510|0.226885
N/A|STN|2023-03-01|23.335830|0.042853
N/A|UGS|2023-03-01|3746.301830|0.000267
N/A|UYP|2023-03-01|39.374740|0.025397
N/A|VES|2023-03-01|24.387240|0.041005
N/A|XBT|2023-03-01|0.000040|25000.000000
N/A|ZWL|2023-03-01|361.900000|0.002763
