Currency|Code|Date|USD/1 Unit|Units/1 USD
Andorran Peseta|ADP|2023-04-01|153.479880|0.006516
Utd. Arab Emir. Dirham|AED|2023-04-01|3.673450|0.272224
Afghanistan Afghani|AFA|2023-04-01|87.746960|0.011396
Albanian Lek|ALL|2023-04-01|104.750000|0.009547
Armenian Dram|AMD|2023-04-01|403.020000|0.002481
NL Antillian Guilder|ANG|2023-04-01|1.790000|0.558659
Angolan Kwanza|AOA|2023-04-01|510.000000|0.001961
Angolan Old Kwanza|AON|2023-04-01|510.000000|0.001961
Argentine Peso|ARS|2023-04-01|208.990400|0.004785
Austrian Schilling|ATS|2023-04-01|12.692950|0.078784
Australian Dollar|AUD|2023-04-01|1.496270|0.668329
Aruban Florin|AWG|2023-04-01|1.810000|0.552486
Azerbaijan Old Manat|AZM|2023-04-01|8500.000000|0.000118
Azerbaijan New Manat|AZN|2023-04-01|1.700000|0.588235
Bosnian Mark|BAM|2023-04-01|1.804120|0.554287
Barbados Dollar|BBD|2023-04-01|2.000000|0.500000
Bangladeshi Taka|BDT|2023-04-01|108.275050|0.009236
Belgian Franc|BEF|2023-04-01|37.210840|0.026874
Bulgarian Old Lev|BGL|2023-04-01|1.804120|0.554287
Bulgarian Lev|BGN|2023-04-01|1.804120|0.554287
Bahraini Dinar|BHD|2023-04-01|0.379520|2.634907
Burundi Franc|BIF|2023-04-01|2108.500000|0.000474
Bermudian Dollar|BMD|2023-04-01|1.000000|1.000000
Brunei Dollar|BND|2023-04-01|1.332240|0.750616
Bolivian Boliviano|BOB|2023-04-01|7.081670|0.141210
Brazilian Real|BRL|2023-04-01|5.066740|0.197366
Bahamian Dollar|BSD|2023-04-01|1.000000|1.000000
Bitcoin|BTC|2023-04-01|0.000040|25000.000000
Bhutan Ngultrum|BTN|2023-04-01|82.187200|0.012167
Botswana Pula|BWP|2023-04-01|13.219020|0.075649
Belarusian Ruble|BYR|2023-04-01|25232.379330|0.000040
Belize Dollar|BZD|2023-04-01|2.058040|0.485899
Canadian Dollar|CAD|2023-04-01|1.351950|0.739672
Congolese Franc|CDF|2023-04-01|2059.000000|0.000486
Swiss Franc|CHF|2023-04-01|0.915750|1.092001
Chilean Peso|CLP|2023-04-01|793.375000|0.001260
Chinese Yuan Renminbi|CNY|2023-04-01|6.869800|0.145565
Colombian Peso|COP|2023-04-01|4657.655000|0.000215
Costa Rican Colon|CRC|2023-04-01|552.731610|0.001809
Cuban Convertible Peso|CUC|2023-04-01|1.000000|1.000000
