Currency|Code|Date|USD/1 Unit|Units/1 USD
Andorran Peseta|ADP|2023-02-01|152.591150|0.006553
Utd. Arab Emir. Dirham|AED|2023-02-01|3.673620|0.272211
Afghanistan Afghani|AFA|2023-02-01|90.830580|0.011010
Albanian Lek|ALL|2023-02-01|108.495320|0.009217
Armenian Dram|AMD|2023-02-01|415.777340|0.002405
NL Antillian Guilder|ANG|2023-02-01|1.790000|0.558659
Angolan Kwanza|AOA|2023-02-01|504.274900|0.001983
Angolan Old Kwanza|AON|2023-02-01|504.274900|0.001983
Argentine Peso|ARS|2023-02-01|187.127030|0.005344
Austrian Schilling|ATS|2023-02-01|12.619450|0.079243
Australian Dollar|AUD|2023-02-01|1.412510|0.707960
Aruban Florin|AWG|2023-02-01|1.810330|0.552385
Azerbaijan Old Manat|AZM|2023-02-01|8500.000000|0.000118
Azerbaijan New Manat|AZN|2023-02-01|1.700000|0.588235
Bosnian Mark|BAM|2023-02-01|1.793670|0.557516
Barbados Dollar|BBD|2023-02-01|2.000000|0.500000
Bangladeshi Taka|BDT|2023-02-01|108.018180|0.009258
Belgian Franc|BEF|2023-02-01|36.995370|0.027030
Bulgarian Old Lev|BGL|2023-02-01|1.793670|0.557516
Bulgarian Lev|BGN|2023-02-01|1.793670|0.557516
Bahraini Dinar|BHD|2023-02-01|0.379330|2.636227
Burundi Franc|BIF|2023-02-01|2094.691550|0.000477
Bermudian Dollar|BMD|2023-02-01|1.000000|1.000000
Brunei Dollar|BND|2023-02-01|1.312040|0.762172
Bolivian Boliviano|BOB|2023-02-01|7.090110|0.141042
Brazilian Real|BRL|2023-02-01|5.072840|0.197128
Bahamian Dollar|BSD|2023-02-01|1.000000|1.000000
Bitcoin|BTC|2023-02-01|0.000040|25000.000000
Bhutan Ngultrum|BTN|2023-02-01|81.819940|0.012222
Botswana Pula|BWP|2023-02-01|12.976790|0.077061
Belarusian Ruble|BYR|2023-02-01|25268.325180|0.000040
Belize Dollar|BZD|2023-02-01|2.060600|0.485296
Canadian Dollar|CAD|2023-02-01|1.331090|0.751264
Congolese Franc|CDF|2023-02-01|2059.400810|0.000486
Swiss Franc|CHF|2023-02-01|0.914760|1.093183
Chilean Peso|CLP|2023-02-01|793.282510|0.001261
Chinese Yuan Renminbi|CNY|2023-02-01|6.746040|0.148235
Colombian Peso|COP|2023-02-01|4655.440430|0.000215
Costa Rican Colon|CRC|2023-02-01|567.538740|0.001762
Cuban Convertible Peso|CUC|2023-02-01|1.000000|1.000000
Cuban Peso|CUP|2023-02-01|25.000000|0.040000
Cape Verde Escudo|CVE|2023-02-01|101.123070|0.009889
Cyprus Pound|CYP|2023-02-01|0.536750|1.863065
Czech Koruna|CZK|2023-02-01|21.812640|0.045845
Djibouti Franc|DJF|2023-02-01|177.710000|0.005627
Danish Krone|DKK|2023-02-01|6.822990|0.146563
Dominican Peso|DOP|2023-02-01|57.184040|0.017487
Algerian Dinar|DZD|2023-02-01|136.270230|0.007338
Ecuador Sucre|ECS|2023-02-01|25587.000000|0.000039
Estonian Kroon|EEK|2023-02-01|14.349360|0.069690
Egyptian Pound|EGP|2023-02-01|30.228950|0.033081
Spanish Peseta|ESP|2023-02-01|152.591150|0.006553
Ethiopian Birr|ETB|2023-02-01|53.821350|0.018580
Euro|EUR|2023-02-01|0.917090|1.090406
Finnish Markka|FIM|2023-02-01|5.452780|0.183393
Fiji Dollar|FJD|2023-02-01|2.172560|0.460286
Falkland Islands Pound|FKP|2023-02-01|0.811230|1.232696
French Franc|FRF|2023-02-01|6.015720|0.166231
United Kingdom Pound|GBP|2023-02-01|0.811230|1.232696
Georgian Lari|GEL|2023-02-01|2.659970|0.375944
Ghanaian Cedi|GHC|2023-02-01|124925.959320|0.000008
Ghanaian New Cedi|GHS|2023-02-01|12.492600|0.080047
Gibraltar Pound|GIP|2023-02-01|0.811230|1.232696
Gambian Dalasi|GMD|2023-02-01|62.500000|0.016000
Guinea Franc|GNF|2023-02-01|8729.160520|0.000115
Greek Drachma|GRD|2023-02-01|312.498850|0.003200
Guatemalan Quetzal|GTQ|2023-02-01|8.029590|0.124539
Guyanan Dollar|GYD|2023-02-01|220.081750|0.004544
Hong Kong Dollar|HKD|2023-02-01|7.842050|0.127518
Honduran Lempira|HNL|2023-02-01|25.068020|0.039891
Croatian Kuna|HRK|2023-02-01|6.909820|0.144722
Haitian Gourde|HTG|2023-02-01|150.116420|0.006661
Hungarian Forint|HUF|2023-02-01|358.139890|0.002792
Indonesian Rupiah|IDR|2023-02-01|14973.592710|0.000067
Irish Punt|IEP|2023-02-01|0.722270|1.384524
Israeli New Shekel|ILS|2023-02-01|3.455620|0.289384
Indian Rupee|INR|2023-02-01|81.819940|0.012222
Iraqi Dinar|IQD|2023-02-01|1479.288830|0.000676
Iranian Rial|IRR|2023-02-01|42405.000000|0.000024
Iceland Krona|ISK|2023-02-01|140.992430|0.007093
Italian Lira|ITL|2023-02-01|1775.736300|0.000563
Jamaican Dollar|JMD|2023-02-01|155.164770|0.006445
Jordanian Dinar|JOD|2023-02-01|0.709000|1.410437
Japanese Yen|JPY|2023-02-01|129.656520|0.007713
Kenyan Shilling|KES|2023-02-01|125.513270|0.007967
Kyrgyzstanian Som|KGS|2023-02-01|86.150000|0.011608
Kampuchean Riel|Cambodian Riel|KHR|2023-02-01|4163.045190|0.000240
Comoros Franc|KMF|2023-02-01|451.179330|0.002216
North Korean Won|KPW|2023-02-01|135.000000|0.007407
Korean Won|KRW|2023-02-01|1229.270580|0.000813
Kuwaiti Dinar|KWD|2023-02-01|0.305910|3.268935
Cayman Islands Dollar|KYD|2023-02-01|0.833330|1.200005
Kazakhstan Tenge|KZT|2023-02-01|461.977760|0.002165
Lao Kip|LAK|2023-02-01|17012.129940|0.000059
Lebanese Pound|LBP|2023-02-01|1507.500000|0.000663
Sri Lanka Rupee|LKR|2023-02-01|367.708470|0.002720
Liberian Dollar|LRD|2023-02-01|157.977040|0.006330
Lesotho Loti|LSL|2023-02-01|17.281470|0.057865
Lithuanian Litas|LTL|2023-02-01|3.166530|0.315803
Luxembourg Franc|LUF|2023-02-01|36.995370|0.027030
Latvian Lats|LVL|2023-02-01|0.644540|1.551494
Libyan Dinar|LYD|2023-02-01|4.780870|0.209167
Moroccan Dirham|MAD|2023-02-01|10.302660|0.097062
Moldovan Leu|MDL|2023-02-01|18.958000|0.052748
Malagasy Ariary|MGA|2023-02-01|4321.300720|0.000231
Malagasy Franc|MGF|2023-02-01|9150.460000|0.000109
Macedonian Denar|MKD|2023-02-01|57.256530|0.017465
Myanmar Kyat|MMK|2023-02-01|2119.119320|0.000472
Mongolian Tugrik|MNT|2023-02-01|2627.000000|0.000381
Macau Pataca|MOP|2023-02-01|8.077310|0.123804
Mauritanian Ouguiya|MRO|2023-02-01|366.581280|0.002728
Maltese Lira|MTL|2023-02-01|0.393710|2.539941
Mauritius Rupee|MUR|2023-02-01|45.281610|0.022084
Maldive Rufiyaa|MVR|2023-02-01|15.460000|0.064683
Malawi Kwacha|MWK|2023-02-01|1031.135730|0.000970
Mexican Peso|MXN|2023-02-01|18.770900|0.053274
Mexican Peso (pre 1993)|MXP|2023-02-01|18.770900|0.053274
Malaysian Ringgit|MYR|2023-02-01|4.267700|0.234318
Mozambique Metical|MZM|2023-02-01|64460.000000|0.000016
Mozambique New Metical|MZN|2023-02-01|64.460000|0.015513
Namibia Dollar|NAD|2023-02-01|17.281470|0.057865
Nigerian Naira|NGN|2023-02-01|461.016320|0.002169
Nicaraguan Cordoba Oro|NIO|2023-02-01|36.946230|0.027066
Dutch Guilder|NLG|2023-02-01|2.021000|0.494805
Norwegian Kroner|NOK|2023-02-01|9.965790|0.100343
Nepalese Rupee|NPR|2023-02-01|132.518140|0.007546
New Zealand Dollar|NZD|2023-02-01|1.550470|0.644966
Omani Rial|OMR|2023-02-01|0.386030|2.590472
Panamanian Balboa|PAB|2023-02-01|1.000000|1.000000
Peruvian Nuevo Sol|PEN|2023-02-01|3.887580|0.257229
Papua New Guinea Kina|PGK|2023-02-01|3.612390|0.276825
Philippine Peso|PHP|2023-02-01|54.471020|0.018358
Pakistan Rupee|PKR|2023-02-01|268.158930|0.003729
Polish Zloty|PLN|2023-02-01|4.318500|0.231562
Portuguese Escudo|PTE|2023-02-01|183.860290|0.005439
Paraguay Guarani|PYG|2023-02-01|7485.472830|0.000134
Qatari Rial|QAR|2023-02-01|3.678920|0.271819
Romanian Lei|ROL|2023-02-01|45110.892890|0.000022
Romanian New Leu|RON|2023-02-01|4.511090|0.221676
Serbian Dinar|RSD|2023-02-01|107.728400|0.009283
Russian Rouble|RUB|2023-02-01|70.142810|0.014257
Rwandan Franc|RWF|2023-02-01|1095.710790|0.000913
Saudi Riyal|SAR|2023-02-01|3.755240|0.266295
Solomon Islands Dollar|SBD|2023-02-01|8.300190|0.120479
Seychelles Rupee|SCR|2023-02-01|14.634510|0.068332
Sudanese Dinar|SDD|2023-02-01|58522.708300|0.000017
Sudanese Pound|SDG|2023-02-01|585.227080|0.001709
Sudanese Old Pound|SDP|2023-02-01|2272.300000|0.000440
Swedish Krona|SEK|2023-02-01|10.417130|0.095996
Singapore Dollar|SGD|2023-02-01|1.312040|0.762172
St. Helena Pound|SHP|2023-02-01|0.811230|1.232696
Slovenian Tolar|SIT|2023-02-01|219.771750|0.004550
Slovak Koruna|SKK|2023-02-01|27.628290|0.036195
Sierra Leone Leone|SLL|2023-02-01|19445.701370|0.000051
Somali Shilling|SOS|2023-02-01|590.942530|0.001692
Suriname Dollar|SRD|2023-02-01|32.262720|0.030996
