Currency|Code|Date|USD/1 Unit|Units/1 USD
Andorran Peseta|ADP|2022-11-01|168.063740|0.005950
Utd. Arab Emir. Dirham|AED|2022-11-01|3.673640|0.272210
Afghanistan Afghani|AFA|2022-11-01|89.242150|0.011205
Albanian Lek|ALL|2022-11-01|120.606540|0.008291
Armenian Dram|AMD|2022-11-01|431.719820|0.002316
NL Antillian Guilder|ANG|2022-11-01|1.790000|0.558659
Angolan Kwanza|AOA|2022-11-01|491.474880|0.002035
Angolan Old Kwanza|AON|2022-11-01|491.474880|0.002035
Argentine Peso|ARS|2022-11-01|157.065080|0.006367
Austrian Schilling|ATS|2022-11-01|13.899050|0.071947
Australian Dollar|AUD|2022-11-01|1.558600|0.641601
Aruban Florin|AWG|2022-11-01|1.810750|0.552257
Azerbaijan Old Manat|AZM|2022-11-01|8500.000000|0.000118
Azerbaijan New Manat|AZN|2022-11-01|1.700000|0.588235
Bosnian Mark|BAM|2022-11-01|1.975550|0.506188
Barbados Dollar|BBD|2022-11-01|2.000000|0.500000
Bangladeshi Taka|BDT|2022-11-01|103.202500|0.009690
Belgian Franc|BEF|2022-11-01|40.746660|0.024542
Bulgarian Old Lev|BGL|2022-11-01|1.975550|0.506188
Bulgarian Lev|BGN|2022-11-01|1.975550|0.506188
Bahraini Dinar|BHD|2022-11-01|0.379430|2.635532
Burundi Franc|BIF|2022-11-01|2088.470060|0.000479
Bermudian Dollar|BMD|2022-11-01|1.000000|1.000000
Brunei Dollar|BND|2022-11-01|1.413450|0.707489
Bolivian Boliviano|BOB|2022-11-01|7.118030|0.140488
Brazilian Real|BRL|2022-11-01|5.159890|0.193803
Bahamian Dollar|BSD|2022-11-01|1.000000|1.000000
Bitcoin|BTC|2022-11-01|0.000050|20000.000000
Bhutan Ngultrum|BTN|2022-11-01|82.675360|0.012096
Botswana Pula|BWP|2022-11-01|13.598220|0.073539
Belarusian Ruble|BYR|2022-11-01|25351.353260|0.000039
Belize Dollar|BZD|2022-11-01|2.063660|0.484576
Canadian Dollar|CAD|2022-11-01|1.359770|0.735418
Congolese Franc|CDF|2022-11-01|2070.885650|0.000483
Swiss Franc|CHF|2022-11-01|0.998490|1.001512
Chilean Peso|CLP|2022-11-01|943.939630|0.001059
Chinese Yuan Renminbi|CNY|2022-11-01|7.283490|0.137297
Colombian Peso|COP|2022-11-01|4968.085310|0.000201
Costa Rican Colon|CRC|2022-11-01|632.901160|0.001580
Cuban Convertible Peso|CUC|2022-11-01|1.000000|1.000000
Cuban Peso|CUP|2022-11-01|25.000000|0.040000
