Currency|Code|Date|USD/1 Unit|Units/1 USD
Zambian Kwacha (ZMK)|ZMK|2023-05-01|5328.900000|0.000188
Zambian Kwacha|ZMW|2023-05-01|17.815350|0.056131
Zimbabwe Dollar|ZWD|2023-05-01|376.300000|0.002657
N/A|BYN|2023-05-01|2.523820|0.396225
N/A|CFP|2023-05-01|108.559880|0.009212
N/A|CLF|2023-05-01|0.029260|34.176350
N/A|CNH|2023-05-01|6.951720|0.143849
N/A|CSD|2023-05-01|107.123430|0.009335
N/A|CSK|2023-05-01|21.453780|0.046612
N/A|ERN|2023-05-01|15.000000|0.066667
N/A|ETH|2023-05-01|0.000540|1851.851852
N/A|LTC|2023-05-01|0.011500|86.956522
N/A|MRU|2023-05-01|34.694220|0.028823
N/A|PLZ|2023-05-01|4.185520|0.238919
N/A|STN|2023-05-01|22.608220|0.044232
N/A|UGS|2023-05-01|3752.875370|0.000266
N/A|UYP|2023-05-01|39.095830|0.025578
N/A|VES|2023-05-01|24.732720|0.040432
N/A|XBT|2023-05-01|0.000040|25000.000000
N/A|ZWL|2023-05-01|361.900000|0.002763
