Currency|Code|Date|USD/1 Unit|Units/1 USD
Sao Tome/Principe Dobra|STD|2022-10-01|25750.000000|0.000039
El Salvador Colon|SVC|2022-10-01|8.750000|0.114286
Syrian Pound|SYP|2022-10-01|512.795000|0.001950
Swaziland Lilangeni|SZL|2022-10-01|18.103450|0.055238
Thai Baht|THB|2022-10-01|37.957000|0.026346
Tajikistani Somoni|TJS|2022-10-01|9.958080|0.100421
Turkmenistan Manat|TMM|2022-10-01|18275.000000|0.000055
Turkmenistan New Manat|TMT|2022-10-01|3.655000|0.273598
Tunisian Dinar|TND|2022-10-01|3.289630|0.303986
Tongan Pa'anga|TOP|2022-10-01|2.492550|0.401196
Turkish Old Lira|TRL|2022-10-01|18562660.000000|0.000000
Turkish Lira|TRY|2022-10-01|18.562660|0.053872
Trinidad/Tobago Dollar|TTD|2022-10-01|6.949170|0.143902
Taiwan Dollar|TWD|2022-10-01|31.830000|0.031417
Tanzanian Shilling|TZS|2022-10-01|2340.207500|0.000427
Ukraine Hryvnia|UAH|2022-10-01|37.228880|0.026861
Uganda Shilling|UGX|2022-10-01|3877.278420|0.000258
Uruguayan Peso|UYU|2022-10-01|42.089040|0.023759
Uzbekistan Som|UZS|2022-10-01|11045.000000|0.000091
Venezuelan Bolivar|VEB|2022-10-01|818858000.000000|0.000000
Venezuelan Bolivar Fuerte|VEF|2022-10-01|818858.000000|0.000001
Vietnamese Dong|VND|2022-10-01|23870.750000|0.000042
Vanuatu Vatu|VUV|2022-10-01|114.140000|0.008761
Samoan Tala|WST|2022-10-01|2.866150|0.348900
CFA Franc BEAC|XAF|2022-10-01|669.398520|0.001494
CFA Franc BCEAO|XOF|2022-10-01|669.398520|0.001494
Palladium (oz.)|XPD|2022-10-01|0.000450|2222.222222
CFP Franc|XPF|2022-10-01|121.776980|0.008212
Platinum (oz.)|XPT|2022-10-01|0.001150|869.565217
Yemen Rial|YER|2022-10-01|250.600000|0.003990
South African Rand|ZAR|2022-10-01|18.103450|0.055238
Zambian Kwacha (ZMK)|ZMK|2022-10-01|5328.900000|0.000188
Zambian Kwacha|ZMW|2022-10-01|15.814850|0.063232
Zimbabwe Dollar|ZWD|2022-10-01|376.300000|0.002657
N/A|BYN|2022-10-01|2.530490|0.395180
N/A|CFP|2022-10-01|121.776980|0.008212
N/A|CLF|2022-10-01|0.035100|28.490028
N/A|CNH|2022-10-01|7.142620|0.140005
N/A|CSD|2022-10-01|119.788030|0.008348
N/A|CSK|2022-10-01|25.097650|0.039844
N/A|ERN|2022-10-01|15.000000|0.066667
N/A|ETH|2022-10-01|0.000750|1333.333333
N/A|LTC|2022-10-01|0.018720|53.418803
N/A|MRU|2022-10-01|38.190000|0.026185
N/A|PLZ|2022-10-01|4.956640|0.201750
N/A|STN|2022-10-01|25.750000|0.038835
N/A|UGS|2022-10-01|3877.278420|0.000258
N/A|UYP|2022-10-01|42.089040|0.023759
N/A|VES|2022-10-01|8.188580|0.122121
N/A|XBT|2022-10-01|0.000050|20000.000000
N/A|ZWL|2022-10-01|361.900000|0.002763
